Title,Rating,Votes,Time,Genre,Stars
Welcome,7.1,338,35 min,"Comedy, Fantasy, Romance","Myung-Soo Kim, Ye-Eun Shin, Seo Ji-Hoon, Ye-Joo Yoon"
A-TEEN,7.7,146,10 min,"Comedy, Drama, Romance","Ahn Jung-Hoon, Ye-Eun Shin, Na-Eun Lee, Soo-Hyun Kim"
Never twice,8.1,58,120 min,Comedy,"Kwak Dong-yeon, Ji-Ho Oh, Ji-won Ye, Se-wan Park"
You're All Surrounded,7.5,"1,136",58 min,"Action, Comedy, Mystery","Go Ara, Seung-Won Cha, Ahn Jae-Hyun, Yun-a Oh"
Athena: Goddess of War,6.7,412,-,"Action, Romance, Thriller","Jung Woo-sung, Soo Ae, Seung-Won Cha, Ji-Ah Lee"
EXO Next Door,7.2,"1,236",15 min,"Comedy, Drama, Romance","Baek-Hyun Byun, Kyung-soo Do, Moon Ga-young, Se-hun Oh"
Tobot Galaxy Detectives,7.4,10,-,Animation,"Travis Turner, Austin A.J. Abell, Cole Howard, Jesse Inocalla"
Catch! Teenieping,7.1,7,13 min,"Comedy, Fantasy","Jang Na-ra, Ji-hyeon Lee, Um Sang-Hyun"
The Game: Towards Zero,7.2,183,35 min,"Crime, Drama, Fantasy","Taecyeon, Yeon-hee Lee, Ju-hwan Lim, Ji-il Park"
When My Love Blooms,7.6,253,60 min,"Drama, Romance","Jinyoung Park, So-nee Jeon, Yoo Ji-Tae, Lee Bo-young"
Pasta,7.7,799,-,"Comedy, Drama, Romance","Kong Hyo-Jin, Sun-kyun Lee, Lee Hanee, Alex Chu"
Ghost,7.9,536,60 min,"Mystery, Thriller","So Ji-seob, Yeon-hee Lee, Hyun-Sung Jang, Kwak Do-won"
The Kingdom of the Winds,7.7,886,-,"Drama, Fantasy, History","Yun-a Oh, Il-guk Song, Jeong-won Choi, Kim Jae-Wook"
My Absolute Boyfriend,7,258,35 min,"Comedy, Fantasy, Romance","Yeo Jin-gu, Min-ah Bang, Jong-Hyun Hong, Ji Yoon Hong"
RedaKai,5.6,215,22 min,"Animation, Action, Adventure","Martin Hylander Brucker, Austin Di Iulio, Jasmine Richards, Eden Gamliel"
Run BTS!,9.7,"1,013",-,Game-Show,"RM, V, Jin, Jimin"
I Live Alone,8.8,43,-,"Comedy, Reality-TV","Kim Kwang-gyu, Hyun-Moo Jun, Yook Joong Wan, Hong-chul Noh"
Rupert,7,"1,600",30 min,"Animation, Adventure, Family","Julie Lemieux, Valerie Boyle, Guy Bannerman, Torquil Campbell"
Beautiful Gong Shim,7.4,807,70 min,"Comedy, Crime, Drama","Min-ah Bang, Min Namkoong, Joo-Wan On, Seo Hyo-Rim"
Shopping King Louie,7.5,"1,132",-,"Comedy, Romance","Seo In-Guk, Nam Ji-Hyun, Yoon Sang-Hyun, Eom Hyo-Seob"
Moment at Eighteen,7.6,346,65 min,"Drama, Romance","Seong-wu Ong, Hyang-gi Kim, Seung-Ho Shin, Kang Ki-Young"
Blood,6.8,741,65 min,"Drama, Horror","Derek Chouinard, Ku Hye-Sun, Ahn Jae-Hyun, Jung Hae-In"
Search,7.1,364,60 min,"Mystery, Thriller","Dong-Yoon Jang, Krystal Jung, Bak Yoon, Hyun-Wook Lee"
Graceful Family,7.9,280,80 min,Drama,"Soo-hyang Im, Lee Jang-woo, Chong-ok Bae, Suk Mun"
Rainbow Ruby,6.4,76,11 min,"Animation, Adventure, Comedy","Shannon Chan-Kent, Johnny Yong Bosch, Kate Higgins, Colleen O'Shaughnessey"
A Witch's Love,7.4,435,-,"Comedy, Romance","Uhm Junghwa, Seo Jun Park, Jae-Suk Han, Yeon-joo Jung"
Missing You,7.7,765,65 min,"Drama, Romance","Yu Chun Park, Yun Eun-hye, Yoo Seung-ho, Yeo Jin-gu"
Reunited Worlds,7.4,220,-,"Fantasy, Romance","Sol-bin Ahn, Kwak Dong-yeon, Park Jin-Joo, Lee Si-eon"
The Flower in Prison,7.3,168,65 min,"Drama, History","Se-Yeon Jin, Go Soo, Kim Mi-Sook, Jun-ho Jeong"
Good Casting,7.5,86,65 min,"Action, Comedy, Crime","Kang-hee Choi, Yoo In-young, Ji-yeong Kim, Jong-Hyuk Lee"
What's with This Family,7.2,260,65 min,"Comedy, Drama, Romance","Dong-Geun Yoo, Kim Hyun-joo, Bak Yoon, Park Hyung-Sik"
Robocar Poli,6.1,116,11 min,"Animation, Adventure, Comedy","Marc Thompson, Jason Griffith, Alyson Leigh Rosenfeld, Rebecca Soler"
Duel,7.9,191,60 min,"Crime, Sci-Fi, Thriller","Jae-yeong Jeong, Jeong-eun Kim, Yang Se-Jong, Yoon Kyung-ho"
Goddess of Fire,7.6,98,-,"Drama, History, Romance","Moon Geun-young, Sang-yoon Lee, Kim Bum, Keon-hyeong Park"
"Lee San, Wind of the Palace",8.1,512,-,"Drama, History","Seo-jin Lee, Han Ji-min, Soon-jae Lee, Kim Yeo-jin"
God's Gift: 14 Days,8.2,497,-,"Fantasy, Mystery, Thriller","Lee Bo-young, Cho Seung-woo, Kim Tae-Woo, Gyu-Woon Jung"
Kamen Rider Ex-Aid,7.9,379,24 min,"Action, Adventure, Comedy","Hiroki Iijima, Toshiki Seto, Ukyô Matsumoto, Ruka Matsuda"
Warm and Cozy,6.7,362,-,"Comedy, Romance","So Ji-seob, Jung Jinyoung, Seohyun, Joon-hee Song"
Joseon Exorcist,7.2,106,70 min,"Action, Fantasy, History","Woo-seong Kam, Dong-Yoon Jang, Sung-Hoon Park, Dong-jun Kim"
When the Devil Calls Your Name,7.6,156,75 min,"Drama, Fantasy, Music","Jung Kyung-ho, Park Sung-woong, Seol Lee, Lee El"
Little Charmers,5.5,132,22 min,"Animation, Adventure, Comedy","Addison Holley, Alexa Torrington, Andrew Sabiston, Matilda Gilbert"
Geunyeoneun Geojitmaleul Neomoo Saranghae,6.9,749,-,"Music, Romance","Hyun-Woo Lee, Soo-Young Park, Lee Jung-Jin, Seo-won Lee"
Confession,7.7,115,-,Drama,"Jun-Ho Lee, Shin Hyon Bin, Yoo Jae-myung, Seong-ju Yoo"
A Gentleman's Dignity,8,"1,332",65 min,"Comedy, Drama, Romance","Jang Dong-Gun, Ha-neul Kim, Soo-Ro Kim, Min-jong Kim"
Love in Sadness,8.1,54,-,Drama,"Hyun-Woo Ji, Han-byeol Park, Soo-young Ryu, Bit-na Wang"
Beautiful Mind,7.9,683,60 min,"Drama, Mystery, Romance","Jang Hyuk, So-dam Park, Joon-ho Huh, Hyun-min Yoon"
Painter of the Wind,7.9,183,65 min,"Drama, History, Romance","Shin-yang Park, Seung-ryong Ryu, Soo-bin Bae, Moon Geun-young"
The Rebel Hong Gil Dong,8.3,319,-,Drama,"Kim Ye-June, Sang-Jung Kim, Yoon Kyun-Sang, Hee-seop Sim"
High Kick!,8.4,349,30 min,Comedy,"Tran Vu, Huyen Chi, Hanh Phuc, Ngo Minh Triet"
My Love Eun Dong,7.8,322,65 min,Romance,"Sa-rang Kim, Ju Jin-Mo, Sung-Hyun Baek, Jung Dong-hwan"
Graceful Friends,6.6,125,70 min,"Crime, Drama, Mystery","Joon-Sang Yoo, Song Yun-ah, Soo-bin Bae, Kim Sung-oh"
Tree with Deep Roots,8.3,469,-,"Drama, History","Ahn Suk-hwan, Yun-shik Baek, Sang-woo Chae, Kim Gi-Bang"
Pororo the Little Penguin,6.3,83,-,"Animation, Family","Sun Lee, Hwan Chin Kim, Mi Ja Lee, Ham Soo-Jeong"
Sixth Sense,8.9,65,90 min,"Comedy, Game-Show, Mystery","Jae-Suk Yoo, Na-ra Oh, So-Min Jun, Mi Joo Lee"
Secret Door,7.2,70,-,"Drama, History","Han Suk-kyu, Lee Jehoon, Kim Yoo-jeong, Eun-bin Park"
Shut Up Flower Boy Band,7.9,491,45 min,"Drama, Music, Romance","Sung Jun, Ui-chul Jung, Jo Bo-ah, Myung-Soo Kim"
Cunning Single Lady,7.6,876,55 min,"Comedy, Romance","Lee Min-Jung, Sang-uk Joo, Gyu-ri Kim, Seo Kang-Joon"
Ghostforce,6.2,37,22 min,"Animation, Action, Adventure","Cassandra Lee Morris, Tara Sands, Ogie Banks, Jordan Quisno"
Bossam: Steal the Fate,7.7,158,65 min,"Drama, History, Romance","Il-Woo Jung, Yuri Kwon, Hyun-soo Shin, Shin Dong-mi"
Eon Kid,8.2,373,-,"Animation, Action, Adventure","Garry Chalk, Nicole Oliver, Lee Tockar, Ron Halder"
Shining Inheritance,7.6,795,70 min,"Comedy, Drama, Romance","Han Hyo-joo, Lee Seung-gi, Moon Chae-Won, Soo-bin Bae"
Twenty-Twenty,7.8,51,-,Drama,"Sang Nam Park, Kang Yuchan, Chae Won-Bin, Sungmin Han"
Touching You,7,67,15 min,"Comedy, Romance","Song Ha-Yoon, Jong-Moon Kim, Joo-hyung Park, Taecyeon"
"Jang Ok-jung, Living by Love",7.5,225,-,"Drama, History, Romance","Kim Tae-hee, Yoo Ah-in, Geon-ju Lee, Soo-Hyun Hong"
When a Man Loves,6.9,249,-,Romance,"Song Seung-heon, Shin Se-Kyung, Jung-an Chae, Woo-jin Yeon"
Tale of A-rang,7.4,774,-,"Action, Comedy, Fantasy","Shin Min-a, Lee Joon-Gi, Woo-jin Yeon, Jeong-su Han"
Mai geol,7.8,"1,534",60 min,"Comedy, Drama, Romance","Lee Da-hae, Lee Dong-Wook, Lee Joon-Gi, Si-yeon Park"
"Cheat on Me, If You Can",7.4,140,65 min,"Comedy, Mystery, Romance","Yeo-jeong Cho, Joon Go, Young-Dae Kim, Sang-Hoon Jung"
Bridal Mask,8.4,626,60 min,"Action, History, Romance","Joo Won, Gi-woong Park, Se-Yeon Jin, Jeon Gook-hwan"
Please Don't Date Him,7,142,60 min,"Comedy, Drama, Romance","Song Ha-Yoon, Joon-Young Lee, Bo-mi Yoon, Min-Jung Gong"
My Only Love Song,6.9,599,30 min,"Comedy, Fantasy, Romance","Ye-ju Jin, Ahn Bo-Hyun, Gong Seung-Yeon, Cheol-min Lee"
VIP,7.7,298,35 min,"Drama, Mystery, Romance","Jang Na-ra, Sang-yoon Lee, Chung-Ah Lee, Sun-Young Kwak"
Monthly Magazine Home,7.4,246,70 min,"Comedy, Romance","Ji-seok Kim, Jung So-Min, Geon-joo Jung, Kim Won-Hae"
Henry Hugglemonster,5.2,378,22 min,"Animation, Adventure, Family","Lara Jill Miller, Hynden Walch, Tom Kenny, Kari Wahlgren"
Left-Handed Wife,6.4,14,-,"Drama, Romance","Soo-kyung Lee, Yeon-joo Ha, Tae-Hyun Jin, Kim Jin Woo"
"Smile, You",8.3,75,65 min,Romance,"Jung Kyung-ho, Lee Min-Jung, Cheon-hee Lee, Jeong-yun Choi"
Circle,8.2,417,60 min,"Mystery, Sci-Fi","In-sun Jung, Kang-woo Kim, Sang-jin Han, Yooyoung"
Angel Eyes,7.5,413,-,Drama,"Kang Ha-Neul, Nam Ji-Hyun, Sang-yoon Lee, Jin-young Jung"
You've Fallen for Me,7.1,"1,742",65 min,"Drama, Music, Romance","Yong-hwa Jung, Park Shin-Hye, Chang-ui Song, Yi-hyeon So"
Top Management,7.1,125,-,"Comedy, Romance","Cha Eun-Woo, Ahn Hyo-Seop, Eun-Su Seo, Lee Joo-seung"
Di-eo Ma-i Peu-ren-jeu,8.3,314,70 min,"Comedy, Drama","Hyun-Jung Go, Jung-Hyun Han, Hyeon Ju, Hye-ja Kim"
Hush,7.4,73,70 min,"Comedy, Drama","Jung-min Hwang, Im Yoon-ah, Park Ho-San, Joon-Won Jung"
Arata the Legend,6.8,105,24 min,Animation,"Nobuhiko Okamoto, Yuki Ono, Ayahi Takagaki"
Dream Knight,6.8,250,13 min,Drama,"Song Ha-Yoon, J.B., Jackson Wang, Mark Tuan"
Peter Pan and the Pirates,7.4,643,30 min,"Animation, Adventure, Family","Jason Marsden, Michael Bacall, Debi Derryberry, Christina Lange"
Night Light,7,278,-,Drama,"Jin Goo, Jeon Gook-hwan, Jung Hae-In, Lee Ho-jung"
Sirius,7.6,59,-,"Crime, Drama","Park Hyung-Sik, Shin Jeong-geun, Woo-Ri Jo, Hyun-kyung Uhm"
Radio Romance,6.6,816,70 min,Romance,"Doo-Joon Yoon, Kim So-Hyun, Bak Yoon, Hyun-Kyung Oh"
The Princess' Man,8.3,516,-,"Action, Drama, History","Moon Chae-Won, Shi-hoo Park, Jong-ho Song, Soo-Hyun Hong"
Flower Crew: Joseon Marriage Agency,6.9,171,70 min,"Comedy, History, Romance","Min-Jae Kim, Gong Seung-Yeon, Seo Ji-Hoon, Ji-Hoon Park"
"Marriage, Not Dating",7.6,981,65 min,"Comedy, Romance","Han Groo, Woo-jin Yeon, Jin-woon Jung, Sun Hwa Han"
Squad 38,7.9,377,60 min,"Comedy, Crime, Drama","Ahn Nae-sang, Song Wok-suk, Ma Dong-seok, Seo In-Guk"
Glitch,-,-,60 min,"Comedy, Mystery, Sci-Fi",-
Three Meals a Day,8.7,57,-,Reality-TV,"Seung-Won Cha, Hwa-Jung Choi, Keun-Suk Jang, Lee Jong-Suk"
Missing: The Other Side,7.9,248,70 min,"Fantasy, Mystery, Thriller","Go Soo, Joon-ho Huh, Sohee, Ha-Joon Song"
The Ghost Detective,7,149,35 min,Mystery,"Daniel Choi, Ji-Ah Lee, Eun-bin Park, Kim Won-Hae"
Detectives of Seonam Girls High School,7.6,79,-,Drama,"Seung-Yun Lee, Jang Ki-Yong, Min-Joon Kim, Choi Deok-moon"
Class of Lies,7.8,369,70 min,"Crime, Drama, Mystery","So-Eun Han, Dong-Joo Jang, Tae Won-suk, Yu-hwa Choi"
Ms. Hammurabi,7.6,516,80 min,"Comedy, Drama","Go Ara, Myung-Soo Kim, Dong-il Sung, Deok-Hwan Ryu"
"Sassy, Go Go",7.4,843,60 min,"Comedy, Drama, Romance","Hak-Yeon Cha, Eun-ji Jung, Won-geun Lee, Ji Soo"
Temptation,7.3,62,-,Drama,"Choi Ji-woo, Lee Jung-Jin, Sang-Woo Kwon, Ha-seon Park"
Ho Goo's Love,7.5,187,-,"Comedy, Romance","Kim You-Jin, Woo-sik Choi, Soo-kyung Lee, Seul-ong Im"
Kamen Rider W,8.3,507,25 min,"Action, Adventure, Comedy","Ren Kiriyama, Masaki Suda, Hikaru Yamamoto, Kate Hawkins"
Alone in Love,8.7,257,60 min,"Drama, Romance","Jae-suk Ha, Yeong-mi Jeon, Woo-seong Kam, Hyeon-seob Shim"
Nine: Nine Time Travels,8.2,459,52 min,"Fantasy, Mystery, Romance","Lee Jin-Wook, Yun-hie Jo, No-min Jeon, Hie-ryeong Kim"
When Time Stops,6.7,184,55 min,Fantasy,"Chranny, Hwang Do-Yun, Kim Hyo-Gyeong, Ji Hyun Ahn"
Queen: Love and War,7.7,115,-,Drama,"Min-Kyu Kim, Se-Yeon Jin, Jung Ae-ri, Sang-woo Do"
My Only One,7.8,91,-,Drama,"Yoon Jin Yi, Hye-mi Na, Hwa-yeon Cha, Lee Jang-woo"
The Return of Superman,8.6,102,-,Reality-TV,"Sam Hammington, William Hammington, Bentley Hammington, Yoshihiro Akiyama"
Blade Man,6.4,309,-,"Fantasy, Romance","Lee Dong-Wook, Shin Se-Kyung, Kim Kap-su, Yu-Geun Jung"
Suriname,-,-,-,"Biography, Crime, Drama",-
We Got Married,7.4,123,71 min,Reality-TV,"Kim So-eun, Jae-rim Song, Jong-Hyun Hong, Min Namkoong"
Hello My Teacher,7.2,215,70 min,"Drama, Romance","Yeo-jin Choi, Kong Hyo-Jin, Da-hyun Kim, Gong Yoo"
Fates and Furies,7.1,76,-,"Drama, Romance","Lee Min-Jung, Sang-uk Joo, Yi-hyeon So, Ki-woo Lee"
The King's Dream,7.1,67,-,"Drama, History","Dong-Hyuk Sun, Su-jong Choi, Il-hwa Choi, So Young Choo"
Kamen Rider Ryuki,7.8,540,25 min,"Action, Adventure, Drama","Takamasa Suga, Satoshi Matsuda, Ayano Sugiyama, Sayaka Kuon"
The Chaser,7.7,45,-,"Action, Crime, Mystery","Son Hyeon-ju, Shin-yeong Jang, Sang-Jung Kim, Sung-ryung Kim"
Kkondae Intern,7.3,137,32 min,"Comedy, Drama","Park Hae-Jin, Eung-soo Kim, Han Ji-Eun, Gi-woong Park"
Lie to Me,7.2,"1,309",-,"Comedy, Drama, Romance","Seung-su Ryu, Yun Eun-hye, Yun-hie Jo, Sung Jun"
Bread Barbershop,7.6,110,-,Animation,"Marc Thompson, Elinor Vanderburg, Courtney Shaw, Barrett Leddy"
"Please Come Back, Mister",7.4,520,60 min,"Comedy, Drama, Fantasy","Lee Hanee, Kim In-kwon, Soo-Ro Kim, In-beom Ko"
High School King of Savvy,7.1,327,70 min,"Comedy, Romance","Seo In-Guk, Lee Hana, Kang Ki-Young, Lee Tae-Hwan"
The Lady in Dignity,7.5,207,60 min,"Drama, Mystery, Romance","Kim Hee-seon, Kim Seon-a, Sang-Hoon Jung, Tae-im Lee"
BTS: Burn the Stage,9.2,"1,526",30 min,Documentary,"BTS, V, Jimin, Jungkook"
Bakugan Battle Brawlers: Gundalian Invaders,6.1,709,-,"Animation, Action","Andrew Jackson, Jason Deline, Scott McCord, Scott Gorman"
Dae Jo Yeong,8.3,129,60 min,"Biography, Drama, History","Hong-Jin Ahn, Sang-hoon Choi, Jung Jae Gon, Yong-woo Kil"
Padam Padam,7.7,209,-,"Fantasy, Romance","Jung Woo-sung, Han Ji-min, Kim Bum"
Lies of Lies,7.5,115,69 min,Drama,"Yu-ri Lee, Jeong-hun Yeon, Na-hee Go, Lee Il-Hwa"
Nokdu Flower,7.9,115,-,Drama,"Yeri Han, Jo Jung-Suk, Yoon Shi-Yoon, Son Woo-Hyun"
Bernard,6.2,910,3 min,"Animation, Comedy, Family",-
Robot Trains,6.1,79,14 min,"Animation, Action, Adventure","Bill Rogers, Carrie Savage, Tony Salerno, Ken Spassione"
High-End Crush,7.3,322,15 min,"Comedy, Romance","Il-Woo Jung, Se-Yeon Jin, Hyun-Woo Park, Seul-gi Park"
My Wife's Having an Affair This Week,7.5,256,-,"Comedy, Drama, Romance","Sun-kyun Lee, Song Ji-Hyo, Kim Hee-won, Lee Sang-Yeob"
The Snow Queen,7.9,198,60 min,"Drama, Romance","Hyun Bin, Yoo In-young, Ju-hwan Lim, Ju-yeon Ko"
Transformers: Robots in Disguise,6.8,535,22 min,"Animation, Action, Adventure","Neil Kaplan, Daniel Riordan, Jason Spisak, Peter Spellos"
Level Up,6.6,160,-,Romance,"Baro, Byeol Kang, Danny Ahn, Sung Hoon"
Weekly Idol,7.7,208,60 min,"Game-Show, Talk-Show","Defconn, Hyeong-don Jeong, Kwang-Hee Hwang, Hyuk-jae Lee"
Scent of a Woman,7.9,472,-,"Drama, Romance","Kim Seon-a, Lee Dong-Wook, Ki-joon Uhm, Seo Hyo-Rim"
W.H.Y.: What Happened to Your Relationship,8,23,12 min,"Comedy, Drama, Romance","Hwang In-Yeop, Geon-joo Jung, Ah-yeon Oh"
Handsome Guy and Jung-Eum,6.7,293,-,"Comedy, Romance","Hwang Jeong-eum, Min Namkoong, Choi Tae-Joon, Yun-a Oh"
Grand Prince,7.5,147,-,"Drama, Romance","Yoon Shi-Yoon, Soo-Hyun Choo, Jae-Suk Han, Moon Ji-In"
Goodbye Mr. Black,7,186,-,"Drama, Thriller","Lee Jin-Wook, Moon Chae-Won, Kang-woo Kim, Yoo In-young"
A Pledge to God,5.1,31,-,Drama,"Chae-Young Han, Soo-bin Bae, Yun-a Oh, Cheon-hee Lee"
2 Days 1 Night,8,212,-,"Adventure, Comedy, Family","Joon-ho Kim, Defconn, Joon-young Jung, Kim Seon-Ho"
The Third Charm,6.3,293,75 min,"Comedy, Romance","Seo Kang-Joon, Esom, Yun-ji Lee, Oh Yeong-Sil"
Sandglass,8.8,38,70 min,Drama,"Jae-Ho Choi, Min-su Choi, Hyun-Jung Go, Jeong-min Heo"
Hospital Ship,6.4,335,35 min,Romance,"Ha Ji-Won, Hwa-yeon Cha, Seo-won Jang, In-gi Jeong"
The Good Wife,7.4,123,-,"Crime, Drama","Yoon Kyesang, Jin-Ah Im, Yeon-ah Oh, Jeon Do-yeon"
My Princess,7,820,65 min,"Comedy, Drama, Romance","Song Seung-heon, Kim Tae-hee, Park Yejin, Soo-young Ryu"
Missing 9,6.9,359,-,"Adventure, Mystery","Jin-hee Baek, Jung Kyung-ho, Choi Tae-Joon, Kim Sang-Ho"
Monster,7.8,73,-,Drama,"Ji-Hwan Kang, Yu-ri Sung, Gi-woong Park, Claudia Kim"
The Great Seer,7.8,67,-,"Action, History, Romance","Kil-kang Ahn, Jae-woong Choi, Gi-seok Do, Jo Han-chul"
Twogether,8.4,403,-,Reality-TV,"Jasper Liu, Lee Seung-gi"
The Amazing Spiez!,5.6,272,22 min,"Animation, Action, Comedy","Andrew Sabiston, Alyson Court, Sugar Lyn Beard, Dan Petronijevic"
On the Verge of Insanity,8,57,65 min,"Comedy, Drama","Moon So-ri, Jae-yeong Jeong, Lee Sang-Yeob, Kim Ga-eun"
The Genius,9.2,140,-,Game-Show,"Jin Ho Hong, Sang-Min Lee, Oh Hyunmin, Jang Dongmin"
Bee & Puppycat: Lazy in Space,8.7,45,-,Animation,-
King of Masked Singer,6.7,49,100 min,"Music, Reality-TV","Sung-Joo Kim, Young-ji Heo, Solji Heo, Jin-Young Hong"
49 Il,8,"1,354",60 min,"Drama, Fantasy, Romance","Yo-won Lee, Gyu-ri Nam, Hyeon-jae Jo, Il-Woo Jung"
Kingmaker: The Change of Destiny,7.4,62,-,"Drama, Fantasy, History","Anastasia Kim, Garrison Michael Farquharson-Keener, Lee Chae Yun, Brad Curtin"
Orange Marmalade,6.4,523,50 min,"Fantasy, Romance","Yeo Jin-gu, Seol-Hyun Kim, Won Hee Lee, Joon-hee Song"
Not Yet Thirty,5.9,64,20 min,"Comedy, Romance","In-sun Jung, Kang Min Hyuk, Jae-rim Song, Min Ji"
Cheonsangui hwawon,8.5,97,-,Drama,"Chani, Seo-hyun Ahn, Ho-jeong Yu, Bool-am Choi"
Love Affairs in the Afternoon,7.1,110,-,Drama,"Daniel Joey Albright, Dong-Hyuk Cho, Byung Mo Choi, Seok-jeong Hwang"
Keopi Hanjan Halkkayo?,8.2,9,-,Drama,"Seong-wu Ong, Park Ho-San, Yeong-hie Seo, Ye-eun Kim"
Potato Star 2013QR3,8,64,-,"Comedy, Fantasy, Romance","Go Kyung-Pyo, Yeo Jin-gu, Yeon-Soo Ha, Song-hyeon Choi"
Nothing to Lose,6.9,104,35 min,"Drama, Romance","Eun-bin Park, Woo-jin Yeon, Ha Dong, Joon-seok Heo"
My Romantic Some Recipe,7.9,41,11 min,"Comedy, Romance","Ji-Hoon Ahn, Cha Eun-Woo, Da-Yeong Ju"
Jang Bo Ri Is Here,7.9,60,60 min,Romance,"Cheon-guk Park, Kim Ji-hoon, Yu-ri Lee, Chang-Suk Oh"
Miss Panda & Hedgehog/Pan-da-yang-gwa Go-seum-do-chi,6.3,251,60 min,Comedy,"Choi Jin-Hyuk, Seung-ah Yoon, Dong-hae Lee, So-young Yoo"
Beautiful World,8.3,124,60 min,"Drama, Mystery","Hee-soon Park, Ja-Hyeon Chu, Oh Man-seok, Yeo-jeong Cho"
Gumiho: Tale of the Fox's Child,7.4,32,-,"Drama, Fantasy, Thriller","Eun-jeong Han, Hyun-Sung Jang, Kim Yoo-jeong, Shin-ae Seo"
YooHoo and Friends,6.2,44,-,"Animation, Comedy, Family","Sang Hyun Uhm, Jeon Sook Kyung, Lee Won Chan, Sin-Jeong Han"
Amazing Saturday,8.4,9,-,Game-Show,"Jung Kyung-ho, Park Sung-woong, Ji-Hoon Pyo, Na Rae Park"
Diary of a Prosecutor,8.2,118,-,Drama,"Ryeowon Jung, Sung-Jae Lee, Kim Kwang-gyu, Sang-hee Lee"
Aggressive Retsuko,8.2,995,-,"Animation, Comedy, Musical",-
Your Honor,7.7,209,-,Drama,"Yoon Shi-Yoon, Byeong-eun Park, Yoo-Young Lee, Nara"
The Tasty Florida,7.9,98,-,Romance,"Woo-min Cha, Hwan Yoo, Kang-Hyuk Moon, Jae-Hoon Choi"
Kamen Rider Decade,7,415,25 min,"Action, Adventure, Drama","Michael C. Pizzuto, Ryôta Murai, Masahiro Inoue, Renji Ishibashi"
Lovely Horribly,6.5,268,35 min,"Comedy, Drama, Horror","Song Ji-Hyo, Shi-hoo Park, Jung Soon-won, Kim Young-woong"
Babel,6.7,47,-,"Drama, Mystery","Shi-hoo Park, Jang Hie-jin, Joo-hyung Park, Yoon Soo"
Heartless City,8.2,445,60 min,"Action, Crime, Drama","Jung Kyung-ho, Gyu-ri Nam, Jae-yoon Lee, Chang-min Son"
The Sound of Magic,-,-,-,Drama,-
I Wanna Hear Your Song,7.3,102,35 min,"Comedy, Drama, Music","Se-Jeong Kim, Jae-rim Song, Woo-jin Yeon, Kim Tae-yeon"
Youn's Kitchen,8.7,101,100 min,Reality-TV,"Yu-mi Jung, Seo-jin Lee, Goo Shin, Yuh-Jung Youn"
Don't Look Back: The Legend of Orpheus,7.6,214,65 min,"Drama, Romance, Thriller","Nam-gil Kim, Son Ye-jin, Ha Seok-jin, Lee Hanee"
School,8.1,593,-,"Drama, Mystery","Lee Dong-Wook, In-Sung Jo, Jae-Hyun Cho, Gye-nam Myeong"
Player,7.8,283,65 min,"Comedy, Crime, Drama","Song Seung-heon, Lee Si-eon, Tae Won-suk, Kim Won-Hae"
Hai seukool,7.3,512,50 min,"Drama, Fantasy, Romance","Jeong-geun Park, Su-rin Choi, Yeon Woo Jo, Chang-joo Lee"
Tomorrow's Cantabile,7.3,275,60 min,"Comedy, Drama, Music","Joo Won, Shim Eun-kyung, Yun-shik Baek, Go Kyung-Pyo"
Glass Slippers,7.5,62,-,"Drama, Romance","Ha Jae-Young, Kim Hyun-joo, Eun-bin Park, So Ji-seob"
"Bad Thief, Good Thief",8.2,73,75 min,"Crime, Drama","Shin Eun Jung, Ji Yoo, Kim Ji-hoon, Seo Yi-Sook"
Last,7.7,187,-,"Crime, Drama, Thriller","Yoon Kyesang, Beom-su Lee, Seo Ye-Ji, Park Yejin"
Whisker Haven Tales with the Palace Pets,7.8,90,-,Animation,"Sanai Victoria, Natalie Coughlin, Bailey Gambertoglio, Henry Kaufman"
Love Rain,7.6,"1,430",65 min,"Comedy, Drama, Romance","Keun-Suk Jang, Im Yoon-ah, Seung-yun Oh, Shi-hoo Kim"
Bubblegum,6.6,142,-,Romance,"Lee Dong-Wook, Ryeowon Jung, Chong-ok Bae, Jong-Hyuk Lee"
My Secret Hotel,6.5,185,-,"Comedy, Mystery, Romance","Yoo In-Na, Jin Yi-Han, Min Namkoong, Jung-woo Choi"
Hwang Jin Yi,8.2,202,-,Drama,"Mi-seon Jeon, Bo-yeon Kim, Tae-Joon Ryu, Jo Sung-ha"
"King's Daughter, Soo Baek Hyang",7.9,168,-,"Action, Drama, Romance","Hyeon-jin Seo, Woo Seo, Jae-ryong Lee, Hyeon-jae Jo"
Gunman in Joseon,7.2,328,-,"Action, History, Romance","Ji Hyun Ahn, Cheol-ho Choi, Ji-eun Ha, Joo-wan Han"
Happy Together,7.4,35,65 min,"Comedy, Drama, Romance","Lee Byung-hun, Tae-Hyun Cha, Jun Ji-hyun, Min-soo Jo"
"Gwanggaeto, the Great Conqueror",8.6,75,45 min,"Biography, Drama, History","Seung-su Kim, In-hye Lee, Tae-gon Lee, Ho Lim"
Birthcare Center,7.7,76,65 min,"Comedy, Drama","Ji-won Uhm, Ha-seon Park, Jang Hye-jin, Bak Yoon"
"When Flowers Bloom, I Think of the Moon",-,-,-,"Drama, History, Romance",-
You Are My Destiny,7.8,65,-,"Drama, Family, Romance","Im Yoon-ah, Kim Jung-nan, Hye-suk Lee, Ji-Hoon Lee"
